"Name","Ingredients","Preparation Time (mins)","Origin (state)"
"Boondi","Maida flour, yogurt, oil, sugar",45,"West Bengal"
"Gajar ka halwa","Carrots, milk, sugar, ghee, cashews, raisins",15,"Punjab"
"Ghevar","Flour, ghee, kewra, milk,  sugar, almonds, pistachio, saffron, green cardamom",15,"Rajasthan"
"Kalakand","Milk, paneer, sugar",20,"West Bengal"
"Misti Doi","Milk, jaggery",480,"West Bengal"
"Aloo tikki","Rice flour, potato, bread crumbs, garam masala, salt",5,"Punjab"
"Chicken tikka masala","Naan, tomato sauce, skinless chicken breasts, heavy cream, garam masala",20,"Punjab"
